#            configname    selected    
    SCEL6_2_3_1_0_1_0/5           1    
    SCEL6_2_3_1_0_1_0/6           1    
    SCEL6_2_3_1_0_1_0/7           1    
    SCEL6_3_1_2_0_0_0/0           1    
    SCEL6_3_1_2_0_0_0/1           1    
    SCEL6_3_1_2_0_0_0/2           1    
    SCEL6_3_1_2_0_0_0/3           1    
    SCEL6_3_1_2_0_0_0/4           1    
    SCEL6_3_1_2_0_0_0/5           1    
    SCEL6_3_1_2_0_0_0/6           1    
    SCEL6_3_1_2_0_0_0/7           1    
    SCEL6_3_1_2_0_0_2/0           1    
    SCEL6_3_1_2_0_0_2/1           1    
    SCEL6_3_1_2_0_0_2/2           1    
    SCEL6_3_1_2_0_0_2/3           1    
    SCEL6_3_1_2_0_0_2/4           1    
    SCEL6_3_1_2_0_0_2/5           1    
    SCEL6_3_1_2_0_0_2/6           1    
    SCEL6_3_1_2_0_0_2/7           1    
    SCEL6_3_1_2_0_2_2/0           1    
    SCEL6_3_1_2_0_2_2/1           1    
    SCEL6_3_1_2_0_2_2/2           1    
    SCEL6_3_1_2_0_2_2/3           1    
    SCEL6_3_1_2_0_2_2/4           1    
    SCEL6_3_1_2_0_2_2/5           1    
    SCEL6_3_1_2_0_2_2/6           1    
    SCEL6_3_1_2_0_2_2/7           1    
    SCEL6_3_2_1_0_1_2/0           1    
    SCEL6_3_2_1_0_1_2/1           1    
    SCEL6_3_2_1_0_1_2/2           1    
    SCEL6_3_2_1_0_1_2/3           1    
    SCEL6_3_2_1_0_1_2/4           1    
    SCEL6_3_2_1_0_1_2/5           1    
    SCEL6_3_2_1_0_1_2/6           1    
    SCEL6_3_2_1_0_1_2/7           1    
    SCEL6_6_1_1_0_0_5/0           1    
    SCEL6_6_1_1_0_0_5/1           1    
    SCEL6_6_1_1_0_0_5/2           1    
    SCEL6_6_1_1_0_0_5/3           1    
    SCEL6_6_1_1_0_0_5/4           1    
    SCEL6_6_1_1_0_0_5/5           1    
    SCEL6_6_1_1_0_0_5/6           1    
    SCEL6_6_1_1_0_0_5/7           1    
    SCEL6_6_1_1_0_1_0/0           1    
    SCEL6_6_1_1_0_1_0/1           1    
    SCEL6_6_1_1_0_1_0/2           1    
    SCEL6_6_1_1_0_1_0/3           1    
    SCEL6_6_1_1_0_1_0/4           1    
    SCEL6_6_1_1_0_1_0/5           1    
    SCEL6_6_1_1_0_1_0/6           1    
    SCEL6_6_1_1_0_1_0/7           1    
    SCEL6_6_1_1_0_1_4/0           1    
    SCEL6_6_1_1_0_1_4/1           1    
    SCEL6_6_1_1_0_1_4/2           1    
    SCEL6_6_1_1_0_1_4/3           1    
    SCEL6_6_1_1_0_1_4/4           1    
    SCEL6_6_1_1_0_1_4/5           1    
    SCEL6_6_1_1_0_1_4/6           1    
    SCEL6_6_1_1_0_1_4/7           1    
    SCEL6_6_1_1_0_3_2/0           1    
    SCEL6_6_1_1_0_3_2/1           1    
    SCEL6_6_1_1_0_3_2/2           1    
    SCEL6_6_1_1_0_3_2/3           1    
    SCEL6_6_1_1_0_3_2/4           1    
    SCEL6_6_1_1_0_3_2/5           1    
    SCEL6_6_1_1_0_3_2/6           1    
    SCEL6_6_1_1_0_3_2/7           1    
    SCEL6_6_1_1_0_5_5/0           1    
    SCEL6_6_1_1_0_5_5/1           1    
    SCEL6_6_1_1_0_5_5/2           1    
    SCEL6_6_1_1_0_5_5/3           1    
    SCEL6_6_1_1_0_5_5/4           1    
    SCEL6_6_1_1_0_5_5/5           1    
    SCEL6_6_1_1_0_5_5/6           1    
    SCEL6_6_1_1_0_5_5/7           1    
    SCEL7_7_1_1_0_0_0/0           1    
    SCEL7_7_1_1_0_0_0/1           1    
    SCEL7_7_1_1_0_0_0/10          1    
    SCEL7_7_1_1_0_0_0/11          1    
    SCEL7_7_1_1_0_0_0/12          1    
    SCEL7_7_1_1_0_0_0/13          1    
    SCEL7_7_1_1_0_0_0/14          1    
    SCEL7_7_1_1_0_0_0/15          1    
    SCEL7_7_1_1_0_0_0/2           1    
    SCEL7_7_1_1_0_0_0/3           1    
    SCEL7_7_1_1_0_0_0/4           1    
    SCEL7_7_1_1_0_0_0/5           1    
    SCEL7_7_1_1_0_0_0/6           1    
    SCEL7_7_1_1_0_0_0/7           1    
    SCEL7_7_1_1_0_0_0/8           1    
    SCEL7_7_1_1_0_0_0/9           1    
    SCEL7_7_1_1_0_0_6/0           1    
    SCEL7_7_1_1_0_0_6/1           1    
    SCEL7_7_1_1_0_0_6/10          1    
    SCEL7_7_1_1_0_0_6/11          1    
    SCEL7_7_1_1_0_0_6/12          1    
    SCEL7_7_1_1_0_0_6/14          1    
    SCEL7_7_1_1_0_0_6/15          1    
    SCEL7_7_1_1_0_0_6/2           1    
    SCEL7_7_1_1_0_0_6/3           1    
    SCEL7_7_1_1_0_0_6/4           1    
    SCEL7_7_1_1_0_0_6/6           1    
    SCEL7_7_1_1_0_0_6/7           1    
    SCEL7_7_1_1_0_0_6/8           1    
    SCEL7_7_1_1_0_0_6/9           1    
    SCEL7_7_1_1_0_2_4/0           1    
    SCEL7_7_1_1_0_2_4/1           1    
    SCEL7_7_1_1_0_2_4/10          1    
    SCEL7_7_1_1_0_2_4/11          1    
    SCEL7_7_1_1_0_2_4/12          1    
    SCEL7_7_1_1_0_2_4/13          1    
    SCEL7_7_1_1_0_2_4/14          1    
    SCEL7_7_1_1_0_2_4/15          1    
    SCEL7_7_1_1_0_2_4/2           1    
    SCEL7_7_1_1_0_2_4/3           1    
    SCEL7_7_1_1_0_2_4/4           1    
    SCEL7_7_1_1_0_2_4/5           1    
    SCEL7_7_1_1_0_2_4/6           1    
    SCEL7_7_1_1_0_2_4/7           1    
    SCEL7_7_1_1_0_2_4/8           1    
    SCEL7_7_1_1_0_2_4/9           1    
    SCEL7_7_1_1_0_3_5/0           1    
    SCEL7_7_1_1_0_3_5/1           1    
    SCEL7_7_1_1_0_3_5/2           1    
    SCEL7_7_1_1_0_3_5/3           1    
    SCEL7_7_1_1_0_3_5/4           1    
    SCEL7_7_1_1_0_3_5/5           1    
    SCEL7_7_1_1_0_3_5/6           1    
    SCEL7_7_1_1_0_3_5/7           1    
    SCEL7_7_1_1_0_3_6/0           1    
    SCEL7_7_1_1_0_3_6/1           1    
    SCEL7_7_1_1_0_3_6/10          1    
    SCEL7_7_1_1_0_3_6/11          1    
    SCEL7_7_1_1_0_3_6/12          1    
    SCEL7_7_1_1_0_3_6/13          1    
    SCEL7_7_1_1_0_3_6/14          1    
    SCEL7_7_1_1_0_3_6/15          1    
    SCEL7_7_1_1_0_3_6/2           1    
    SCEL7_7_1_1_0_3_6/3           1    
    SCEL7_7_1_1_0_3_6/4           1    
    SCEL7_7_1_1_0_3_6/5           1    
    SCEL7_7_1_1_0_3_6/6           1    
    SCEL7_7_1_1_0_3_6/7           1    
    SCEL7_7_1_1_0_3_6/8           1    
    SCEL7_7_1_1_0_3_6/9           1    
    SCEL7_7_1_1_0_6_4/0           1    
    SCEL7_7_1_1_0_6_4/1           1    
    SCEL7_7_1_1_0_6_4/10          1    
    SCEL7_7_1_1_0_6_4/11          1    
    SCEL7_7_1_1_0_6_4/12          1    
    SCEL7_7_1_1_0_6_4/13          1    
    SCEL7_7_1_1_0_6_4/14          1    
    SCEL7_7_1_1_0_6_4/15          1    
    SCEL7_7_1_1_0_6_4/2           1    
    SCEL7_7_1_1_0_6_4/3           1    
    SCEL7_7_1_1_0_6_4/4           1    
    SCEL7_7_1_1_0_6_4/5           1    
    SCEL7_7_1_1_0_6_4/6           1    
    SCEL7_7_1_1_0_6_4/7           1    
    SCEL7_7_1_1_0_6_4/8           1    
    SCEL7_7_1_1_0_6_4/9           1    
    SCEL7_7_1_1_0_6_5/0           1    
    SCEL7_7_1_1_0_6_5/1           1    
    SCEL7_7_1_1_0_6_5/10          1    
    SCEL7_7_1_1_0_6_5/11          1    
    SCEL7_7_1_1_0_6_5/12          1    
    SCEL7_7_1_1_0_6_5/13          1    
    SCEL7_7_1_1_0_6_5/14          1    
    SCEL7_7_1_1_0_6_5/15          1    
    SCEL7_7_1_1_0_6_5/2           1    
    SCEL7_7_1_1_0_6_5/3           1    
    SCEL7_7_1_1_0_6_5/4           1    
    SCEL7_7_1_1_0_6_5/5           1    
    SCEL7_7_1_1_0_6_5/6           1    
    SCEL7_7_1_1_0_6_5/7           1    
    SCEL7_7_1_1_0_6_5/8           1    
    SCEL7_7_1_1_0_6_5/9           1    
    SCEL8_1_1_8_0_0_0/0           1    
    SCEL8_1_1_8_0_0_0/1           1    
    SCEL8_1_1_8_0_0_0/10          1    
    SCEL8_1_1_8_0_0_0/11          1    
    SCEL8_1_1_8_0_0_0/12          1    
    SCEL8_1_1_8_0_0_0/13          1    
    SCEL8_1_1_8_0_0_0/14          1    
    SCEL8_1_1_8_0_0_0/15          1    
    SCEL8_1_1_8_0_0_0/16          1    
    SCEL8_1_1_8_0_0_0/17          1    
    SCEL8_1_1_8_0_0_0/18          1    
    SCEL8_1_1_8_0_0_0/19          1    
    SCEL8_1_1_8_0_0_0/2           1    
    SCEL8_1_1_8_0_0_0/20          1    
    SCEL8_1_1_8_0_0_0/21          1    
    SCEL8_1_1_8_0_0_0/22          1    
    SCEL8_1_1_8_0_0_0/23          1    
    SCEL8_1_1_8_0_0_0/4           1    
    SCEL8_1_1_8_0_0_0/5           1    
    SCEL8_1_1_8_0_0_0/6           1    
    SCEL8_1_1_8_0_0_0/7           1    
    SCEL8_1_1_8_0_0_0/8           1    
    SCEL8_1_1_8_0_0_0/9           1    
    SCEL8_2_2_2_0_0_0/0           1    
    SCEL8_2_2_2_0_0_0/1           1    
    SCEL8_2_2_2_0_0_0/2           1    
    SCEL8_2_2_2_0_0_0/3           1    
    SCEL8_2_2_2_0_0_0/4           1    
    SCEL8_2_2_2_0_0_0/5           1    
    SCEL8_2_2_2_0_0_0/6           1    
    SCEL8_2_2_2_0_0_0/7           1    
    SCEL8_2_4_1_0_1_1/0           1    
    SCEL8_2_4_1_0_1_1/1           1    
    SCEL8_2_4_1_0_1_1/10          1    
    SCEL8_2_4_1_0_1_1/11          1    
    SCEL8_2_4_1_0_1_1/12          1    
    SCEL8_2_4_1_0_1_1/13          1    
    SCEL8_2_4_1_0_1_1/14          1    
    SCEL8_2_4_1_0_1_1/15          1    
    SCEL8_2_4_1_0_1_1/16          1    
    SCEL8_2_4_1_0_1_1/17          1    
    SCEL8_2_4_1_0_1_1/18          1    
    SCEL8_2_4_1_0_1_1/19          1    
    SCEL8_2_4_1_0_1_1/2           1    
    SCEL8_2_4_1_0_1_1/20          1    
    SCEL8_2_4_1_0_1_1/21          1    
    SCEL8_2_4_1_0_1_1/22          1    
    SCEL8_2_4_1_0_1_1/23          1    
    SCEL8_2_4_1_0_1_1/3           1    
    SCEL8_2_4_1_0_1_1/4           1    
    SCEL8_2_4_1_0_1_1/5           1    
    SCEL8_2_4_1_0_1_1/6           1    
    SCEL8_2_4_1_0_1_1/7           1    
    SCEL8_2_4_1_0_1_1/8           1    
    SCEL8_2_4_1_0_1_1/9           1    
    SCEL8_2_4_1_1_0_1/0           1    
    SCEL8_2_4_1_1_0_1/1           1    
    SCEL8_2_4_1_1_0_1/10          1    
    SCEL8_2_4_1_1_0_1/11          1    
    SCEL8_2_4_1_1_0_1/12          1    
    SCEL8_2_4_1_1_0_1/13          1    
    SCEL8_2_4_1_1_0_1/14          1    
    SCEL8_2_4_1_1_0_1/15          1    
    SCEL8_2_4_1_1_0_1/16          1    
    SCEL8_2_4_1_1_0_1/17          1    
    SCEL8_2_4_1_1_0_1/2           1    
    SCEL8_2_4_1_1_0_1/3           1    
    SCEL8_2_4_1_1_0_1/4           1    
    SCEL8_2_4_1_1_0_1/5           1    
    SCEL8_2_4_1_1_0_1/6           1    
    SCEL8_2_4_1_1_0_1/7           1    
    SCEL8_2_4_1_1_0_1/8           1    
    SCEL8_2_4_1_1_0_1/9           1    
    SCEL8_2_4_1_1_1_0/0           1    
    SCEL8_2_4_1_1_1_0/1           1    
    SCEL8_2_4_1_1_1_0/10          1    
    SCEL8_2_4_1_1_1_0/11          1    
    SCEL8_2_4_1_1_1_0/12          1    
    SCEL8_2_4_1_1_1_0/2           1    
    SCEL8_2_4_1_1_1_0/3           1    
    SCEL8_2_4_1_1_1_0/4           1    
    SCEL8_2_4_1_1_1_0/5           1    
    SCEL8_2_4_1_1_1_0/6           1    
    SCEL8_2_4_1_1_1_0/7           1    
    SCEL8_2_4_1_1_1_0/8           1    
    SCEL8_2_4_1_1_1_0/9           1    
    SCEL8_4_1_2_0_0_0/0           1    
    SCEL8_4_1_2_0_0_0/1           1    
    SCEL8_4_1_2_0_0_0/10          1    
    SCEL8_4_1_2_0_0_0/11          1    
    SCEL8_4_1_2_0_0_0/12          1    
    SCEL8_4_1_2_0_0_0/13          1    
    SCEL8_4_1_2_0_0_0/14          1    
    SCEL8_4_1_2_0_0_0/15          1    
    SCEL8_4_1_2_0_0_0/16          1    
    SCEL8_4_1_2_0_0_0/17          1    
    SCEL8_4_1_2_0_0_0/18          1    
    SCEL8_4_1_2_0_0_0/19          1    
    SCEL8_4_1_2_0_0_0/2           1    
    SCEL8_4_1_2_0_0_0/20          1    
    SCEL8_4_1_2_0_0_0/3           1    
    SCEL8_4_1_2_0_0_0/4           1    
    SCEL8_4_1_2_0_0_0/5           1    
    SCEL8_4_1_2_0_0_0/6           1    
    SCEL8_4_1_2_0_0_0/7           1    
    SCEL8_4_1_2_0_0_0/8           1    
    SCEL8_4_1_2_0_0_0/9           1    
    SCEL8_4_1_2_0_0_1/0           1    
    SCEL8_4_1_2_0_0_1/1           1    
    SCEL8_4_1_2_0_0_1/10          1    
    SCEL8_4_1_2_0_0_1/11          1    
    SCEL8_4_1_2_0_0_1/12          1    
    SCEL8_4_1_2_0_0_1/13          1    
    SCEL8_4_1_2_0_0_1/14          1    
    SCEL8_4_1_2_0_0_1/15          1    
    SCEL8_4_1_2_0_0_1/2           1    
    SCEL8_4_1_2_0_0_1/3           1    
    SCEL8_4_1_2_0_0_1/4           1    
    SCEL8_4_1_2_0_0_1/5           1    
    SCEL8_4_1_2_0_0_1/6           1    
    SCEL8_4_1_2_0_0_1/7           1    
    SCEL8_4_1_2_0_0_1/8           1    
    SCEL8_4_1_2_0_0_1/9           1    
    SCEL8_4_1_2_0_1_0/0           1    
    SCEL8_4_1_2_0_1_0/1           1    
    SCEL8_4_1_2_0_1_0/10          1    
    SCEL8_4_1_2_0_1_0/11          1    
    SCEL8_4_1_2_0_1_0/12          1    
    SCEL8_4_1_2_0_1_0/13          1    
    SCEL8_4_1_2_0_1_0/14          1    
    SCEL8_4_1_2_0_1_0/15          1    
    SCEL8_4_1_2_0_1_0/16          1    
    SCEL8_4_1_2_0_1_0/17          1    
    SCEL8_4_1_2_0_1_0/18          1    
    SCEL8_4_1_2_0_1_0/19          1    
    SCEL8_4_1_2_0_1_0/2           1    
    SCEL8_4_1_2_0_1_0/20          1    
    SCEL8_4_1_2_0_1_0/21          1    
    SCEL8_4_1_2_0_1_0/22          1    
    SCEL8_4_1_2_0_1_0/23          1    
    SCEL8_4_1_2_0_1_0/3           1    
    SCEL8_4_1_2_0_1_0/4           1    
    SCEL8_4_1_2_0_1_0/5           1    
    SCEL8_4_1_2_0_1_0/6           1    
    SCEL8_4_1_2_0_1_0/7           1    
    SCEL8_4_1_2_0_1_0/8           1    
    SCEL8_4_1_2_0_1_0/9           1    
    SCEL8_4_1_2_0_1_2/0           1    
    SCEL8_4_1_2_0_1_2/1           1    
    SCEL8_4_1_2_0_1_2/10          1    
    SCEL8_4_1_2_0_1_2/11          1    
    SCEL8_4_1_2_0_1_2/12          1    
    SCEL8_4_1_2_0_1_2/13          1    
    SCEL8_4_1_2_0_1_2/14          1    
    SCEL8_4_1_2_0_1_2/15          1    
    SCEL8_4_1_2_0_1_2/16          1    
    SCEL8_4_1_2_0_1_2/17          1    
    SCEL8_4_1_2_0_1_2/18          1    
    SCEL8_4_1_2_0_1_2/19          1    
    SCEL8_4_1_2_0_1_2/2           1    
    SCEL8_4_1_2_0_1_2/20          1    
    SCEL8_4_1_2_0_1_2/21          1    
    SCEL8_4_1_2_0_1_2/22          1    
    SCEL8_4_1_2_0_1_2/23          1    
    SCEL8_4_1_2_0_1_2/3           1    
    SCEL8_4_1_2_0_1_2/4           1    
    SCEL8_4_1_2_0_1_2/5           1    
    SCEL8_4_1_2_0_1_2/6           1    
    SCEL8_4_1_2_0_1_2/7           1    
    SCEL8_4_1_2_0_1_2/8           1    
    SCEL8_4_1_2_0_1_2/9           1    
    SCEL8_4_2_1_0_0_2/0           1    
    SCEL8_4_2_1_0_0_2/1           1    
    SCEL8_4_2_1_0_0_2/10          1    
    SCEL8_4_2_1_0_0_2/11          1    
    SCEL8_4_2_1_0_0_2/12          1    
    SCEL8_4_2_1_0_0_2/13          1    
    SCEL8_4_2_1_0_0_2/14          1    
    SCEL8_4_2_1_0_0_2/15          1    
    SCEL8_4_2_1_0_0_2/2           1    
    SCEL8_4_2_1_0_0_2/3           1    
    SCEL8_4_2_1_0_0_2/4           1    
    SCEL8_4_2_1_0_0_2/5           1    
    SCEL8_4_2_1_0_0_2/6           1    
    SCEL8_4_2_1_0_0_2/7           1    
    SCEL8_4_2_1_0_0_2/8           1    
    SCEL8_4_2_1_0_0_2/9           1    
    SCEL8_4_2_1_1_2_0/0           1    
    SCEL8_4_2_1_1_2_0/1           1    
    SCEL8_4_2_1_1_2_0/10          1    
    SCEL8_4_2_1_1_2_0/11          1    
    SCEL8_4_2_1_1_2_0/12          1    
    SCEL8_4_2_1_1_2_0/13          1    
    SCEL8_4_2_1_1_2_0/14          1    
    SCEL8_4_2_1_1_2_0/15          1    
    SCEL8_4_2_1_1_2_0/16          1    
    SCEL8_4_2_1_1_2_0/17          1    
    SCEL8_4_2_1_1_2_0/2           1    
    SCEL8_4_2_1_1_2_0/3           1    
    SCEL8_4_2_1_1_2_0/4           1    
    SCEL8_4_2_1_1_2_0/5           1    
    SCEL8_4_2_1_1_2_0/6           1    
    SCEL8_4_2_1_1_2_0/7           1    
    SCEL8_4_2_1_1_2_0/8           1    
    SCEL8_4_2_1_1_2_0/9           1    
    SCEL8_4_2_1_1_3_1/0           1    
    SCEL8_4_2_1_1_3_1/1           1    
    SCEL8_4_2_1_1_3_1/10          1    
    SCEL8_4_2_1_1_3_1/11          1    
    SCEL8_4_2_1_1_3_1/12          1    
    SCEL8_4_2_1_1_3_1/13          1    
    SCEL8_4_2_1_1_3_1/14          1    
    SCEL8_4_2_1_1_3_1/15          1    
    SCEL8_4_2_1_1_3_1/16          1    
    SCEL8_4_2_1_1_3_1/17          1    
    SCEL8_4_2_1_1_3_1/2           1    
    SCEL8_4_2_1_1_3_1/3           1    
    SCEL8_4_2_1_1_3_1/4           1    
    SCEL8_4_2_1_1_3_1/5           1    
    SCEL8_4_2_1_1_3_1/6           1    
    SCEL8_4_2_1_1_3_1/7           1    
    SCEL8_4_2_1_1_3_1/8           1    
    SCEL8_4_2_1_1_3_1/9           1    
    SCEL8_4_2_1_1_3_2/0           1    
    SCEL8_4_2_1_1_3_2/1           1    
    SCEL8_4_2_1_1_3_2/10          1    
    SCEL8_4_2_1_1_3_2/11          1    
    SCEL8_4_2_1_1_3_2/12          1    
    SCEL8_4_2_1_1_3_2/13          1    
    SCEL8_4_2_1_1_3_2/14          1    
    SCEL8_4_2_1_1_3_2/15          1    
    SCEL8_4_2_1_1_3_2/2           1    
    SCEL8_4_2_1_1_3_2/3           1    
    SCEL8_4_2_1_1_3_2/4           1    
    SCEL8_4_2_1_1_3_2/5           1    
    SCEL8_4_2_1_1_3_2/6           1    
    SCEL8_4_2_1_1_3_2/7           1    
    SCEL8_4_2_1_1_3_2/8           1    
    SCEL8_4_2_1_1_3_2/9           1    
    SCEL8_8_1_1_0_0_3/0           1    
    SCEL8_8_1_1_0_0_3/1           1    
    SCEL8_8_1_1_0_0_3/10          1    
    SCEL8_8_1_1_0_0_3/11          1    
    SCEL8_8_1_1_0_0_3/12          1    
    SCEL8_8_1_1_0_0_3/13          1    
    SCEL8_8_1_1_0_0_3/14          1    
    SCEL8_8_1_1_0_0_3/15          1    
    SCEL8_8_1_1_0_0_3/16          1    
    SCEL8_8_1_1_0_0_3/17          1    
    SCEL8_8_1_1_0_0_3/2           1    
    SCEL8_8_1_1_0_0_3/3           1    
    SCEL8_8_1_1_0_0_3/4           1    
    SCEL8_8_1_1_0_0_3/5           1    
    SCEL8_8_1_1_0_0_3/6           1    
    SCEL8_8_1_1_0_0_3/7           1    
    SCEL8_8_1_1_0_0_3/8           1    
    SCEL8_8_1_1_0_0_3/9           1    
    SCEL8_8_1_1_0_0_5/0           1    
    SCEL8_8_1_1_0_0_5/1           1    
    SCEL8_8_1_1_0_0_5/10          1    
    SCEL8_8_1_1_0_0_5/11          1    
    SCEL8_8_1_1_0_0_5/12          1    
    SCEL8_8_1_1_0_0_5/13          1    
    SCEL8_8_1_1_0_0_5/14          1    
    SCEL8_8_1_1_0_0_5/15          1    
    SCEL8_8_1_1_0_0_5/16          1    
    SCEL8_8_1_1_0_0_5/17          1    
    SCEL8_8_1_1_0_0_5/2           1    
    SCEL8_8_1_1_0_0_5/3           1    
    SCEL8_8_1_1_0_0_5/4           1    
    SCEL8_8_1_1_0_0_5/5           1    
    SCEL8_8_1_1_0_0_5/6           1    
    SCEL8_8_1_1_0_0_5/7           1    
    SCEL8_8_1_1_0_0_5/8           1    
    SCEL8_8_1_1_0_0_5/9           1    
    SCEL8_8_1_1_0_0_6/0           1    
    SCEL8_8_1_1_0_0_6/1           1    
    SCEL8_8_1_1_0_0_6/10          1    
    SCEL8_8_1_1_0_0_6/11          1    
    SCEL8_8_1_1_0_0_6/12          1    
    SCEL8_8_1_1_0_0_6/13          1    
    SCEL8_8_1_1_0_0_6/14          1    
    SCEL8_8_1_1_0_0_6/15          1    
    SCEL8_8_1_1_0_0_6/16          1    
    SCEL8_8_1_1_0_0_6/17          1    
    SCEL8_8_1_1_0_0_6/18          1    
    SCEL8_8_1_1_0_0_6/19          1    
    SCEL8_8_1_1_0_0_6/2           1    
    SCEL8_8_1_1_0_0_6/20          1    
    SCEL8_8_1_1_0_0_6/21          1    
    SCEL8_8_1_1_0_0_6/22          1    
    SCEL8_8_1_1_0_0_6/23          1    
    SCEL8_8_1_1_0_0_6/3           1    
    SCEL8_8_1_1_0_0_6/4           1    
    SCEL8_8_1_1_0_0_6/5           1    
    SCEL8_8_1_1_0_0_6/6           1    
    SCEL8_8_1_1_0_0_6/7           1    
    SCEL8_8_1_1_0_0_6/8           1    
    SCEL8_8_1_1_0_0_6/9           1    
    SCEL8_8_1_1_0_0_7/0           1    
    SCEL8_8_1_1_0_0_7/1           1    
    SCEL8_8_1_1_0_0_7/10          1    
    SCEL8_8_1_1_0_0_7/11          1    
    SCEL8_8_1_1_0_0_7/12          1    
    SCEL8_8_1_1_0_0_7/13          1    
    SCEL8_8_1_1_0_0_7/14          1    
    SCEL8_8_1_1_0_0_7/15          1    
    SCEL8_8_1_1_0_0_7/16          1    
    SCEL8_8_1_1_0_0_7/17          1    
    SCEL8_8_1_1_0_0_7/18          1    
    SCEL8_8_1_1_0_0_7/19          1    
    SCEL8_8_1_1_0_0_7/2           1    
    SCEL8_8_1_1_0_0_7/20          1    
    SCEL8_8_1_1_0_0_7/21          1    
    SCEL8_8_1_1_0_0_7/22          1    
    SCEL8_8_1_1_0_0_7/23          1    
    SCEL8_8_1_1_0_0_7/3           1    
    SCEL8_8_1_1_0_0_7/4           1    
    SCEL8_8_1_1_0_0_7/5           1    
    SCEL8_8_1_1_0_0_7/6           1    
    SCEL8_8_1_1_0_0_7/7           1    
    SCEL8_8_1_1_0_0_7/8           1    
    SCEL8_8_1_1_0_0_7/9           1    
    SCEL8_8_1_1_0_1_0/0           1    
    SCEL8_8_1_1_0_1_0/1           1    
    SCEL8_8_1_1_0_1_0/10          1    
    SCEL8_8_1_1_0_1_0/11          1    
    SCEL8_8_1_1_0_1_0/12          1    
    SCEL8_8_1_1_0_1_0/13          1    
    SCEL8_8_1_1_0_1_0/14          1    
    SCEL8_8_1_1_0_1_0/15          1    
    SCEL8_8_1_1_0_1_0/16          1    
    SCEL8_8_1_1_0_1_0/17          1    
    SCEL8_8_1_1_0_1_0/18          1    
    SCEL8_8_1_1_0_1_0/19          1    
    SCEL8_8_1_1_0_1_0/2           1    
    SCEL8_8_1_1_0_1_0/20          1    
    SCEL8_8_1_1_0_1_0/21          1    
    SCEL8_8_1_1_0_1_0/22          1    
    SCEL8_8_1_1_0_1_0/23          1    
    SCEL8_8_1_1_0_1_0/3           1    
    SCEL8_8_1_1_0_1_0/4           1    
    SCEL8_8_1_1_0_1_0/5           1    
